StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q9_14_TEXT,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24,Q25_1,Q26,Q27,Q28,Q29,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
2025-03-28 17:52:32,2025-03-29 10:32:25,IP Address,189.217.194.132,100,59992,True,2025-03-29 10:32:26,R_5e8WxXGaJBn8r38,,,,,19.2857,-99.1268,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,"Other, please specify...","Taxes ",Somewhat knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,2,5,1,4,6,3,Somewhat,"Social media,TV/radio",Yes,8,No,Yes,"Yes, definitely",Bacteria in water,9,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-29 12:18:59,2025-03-29 12:27:27,IP Address,166.198.34.8,100,508,True,2025-03-29 12:27:28,R_6NzlQDP11zzvmbW,,,,,38.4799,-121.4451,anonymous,EN,1,,Yes,55 - 64,United States of America,Master’s degree or higher,Suburban,"Other, please specify...","Human Resources ",Somewhat knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,4,5,6,2,Somewhat,"Social media,TV/radio",No,8,No,Maybe,"Yes, definitely","Systems and processes to avoid pollution ",5,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,Global Climate Change,,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-29 12:38:20,2025-03-29 12:42:33,IP Address,201.103.88.188,100,253,True,2025-03-29 12:42:34,R_1UhgvO3REcXbO8U,,,,,19.4453,-99.1474,anonymous,EN,1,,Yes,35 - 44,Mexico,Master’s degree or higher,Urban,Public Service,,Very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,1,2,3,4,6,5,A lot,News websites,No,10,Yes,Yes,"Yes, definitely",Water quality,10,"Interactive maps,Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Yes,Yes,Health and Safety,,Unknown,,,0.038461538461538464,QID1,,
2025-03-29 14:21:33,2025-03-29 14:28:25,IP Address,185.187.243.234,100,412,True,2025-03-29 14:28:25,R_5IaAMPXXnZKefCr,,,,,40.7126,-74.0066,anonymous,EN,0.8999999761581421,,Yes,45 - 54,United States of America,Master’s degree or higher,Urban,Science,,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,5,3,6,1,Somewhat,"Social media,News websites,Word of mouth",No,7,No,Yes,"Yes, definitely",,7,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-29 00:08:15,2025-03-29 17:51:26,IP Address,200.68.183.34,100,63790,True,2025-03-29 17:51:27,R_77KylSK4nVB2mBX,,,,,19.2765,-98.9543,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,"Other, please specify...",Sports coach,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,3,5,1,2,6,4,Somewhat,"Social media,TV/radio",No,8,No,Yes,"Yes, definitely","How to check quality in house ",9,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Yes,"Concern for future generations,Global Climate Change",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-03-30 03:20:53,2025-03-30 03:34:21,IP Address,91.182.139.41,100,807,True,2025-03-30 03:34:22,R_1jNYYlhKe0aROKd,,,,,50.8534,4.347,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Belgium,Bachelor’s degree,Urban,"Other, please specify...",I'm not working for now,Somewhat knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,5,1,3,6,Very little,I don’t usually seek out this information,No,6,No,Maybe,Maybe,because the water is different in some places,,,,,,,Unknown,,Unknown,0.23076923076923078,"QID29,QID28,QID25,QID27,QID1,QID26",,
2025-03-30 07:40:32,2025-03-30 07:46:45,IP Address,83.80.172.71,100,372,True,2025-03-30 07:46:46,R_1xbI6gw9CDM7yJX,,,,,52.064,4.4111,anonymous,EN,0.800000011920929,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,6,5,3,2,4,Very little,"Social media,Educational platforms",No,8,Yes,Yes,"Yes, definitely",,2,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-31 02:36:09,2025-03-31 02:39:14,IP Address,146.50.41.66,100,185,True,2025-03-31 02:39:15,R_8rNQKS2V4F0EPa1,,,,,52.3541,4.8975,anonymous,EN,1,,Yes,18 - 24,Finland,Bachelor’s degree,Urban,Education,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,4,1,6,3,Somewhat,"Social media,News websites",Yes,5,Yes,Yes,"Yes, definitely","Water quality decline prevention ",5,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-31 05:51:42,2025-03-31 06:00:33,IP Address,82.132.228.146,100,531,True,2025-03-31 06:00:34,R_8BOUODXvNl7fA3L,,,,,51.5017,-0.0617,anonymous,EN,0.800000011920929,,Yes,55 - 64,United Kingdom of Great Britain and Northern Ireland,Master’s degree or higher,Urban,"Other, please specify...","Intergovernmental organisations ",Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,5,6,1,Somewhat,"News websites,TV/radio,Word of mouth",Yes,8,Yes,Yes,"Yes, definitely",Disposal of urbano rubbish,,,,,,,Unknown,,Unknown,0.23076923076923078,"QID29,QID28,QID25,QID27,QID1,QID26",,
2025-03-31 07:39:24,2025-03-31 10:08:17,IP Address,186.81.59.56,100,8932,True,2025-03-31 10:08:17,R_10ka2Iv8k86OVEJ,,,,,4.5607,-74.0558,anonymous,EN,0.8999999761581421,,Yes,45 - 54,Colombia,Master’s degree or higher,Urban,Finance and Commerce,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,5,4,2,6,A lot,"Social media,TV/radio",No,9,No,Maybe,Maybe,como poder ayudar a limpiar el agua,7,"Educational information,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-04-01 07:08:02,2025-04-02 03:58:55,IP Address,193.54.67.94,100,75052,True,2025-04-02 03:58:55,R_7MRQybIdh9oeHpD,,,,,48.7926,2.4716,anonymous,EN,0.8999999761581421,,Yes,18 - 24,France,Master’s degree or higher,Urban,Student,,Not knowledgeable at all,"Yes, very serious","Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,6,3,4,1,5,Very little,"Social media,News websites,TV/radio",No,3,No,Maybe,Maybe,,1,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-02 08:16:52,2025-04-02 08:18:52,IP Address,104.28.99.206,100,119,True,2025-04-02 08:18:52,R_9ZD2DxJX03yT7bY,,,,,35.6893,139.6899,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Comoros,Bachelor’s degree,Urban,Student,,Not very knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,1,2,3,4,5,6,A lot,"Social media,News websites",No,8,No,Yes,"Yes, definitely",,7,"Interactive maps,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-02 08:25:21,2025-04-02 08:30:44,IP Address,77.241.136.86,100,322,True,2025-04-02 08:30:45,R_1rx40icOveRXprH,,,,,55.6769,12.5268,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Denmark,Bachelor’s degree,Suburban,Finance and Commerce,,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,5,2,3,6,Very little,"Social media,News websites,Word of mouth,Educational platforms",Yes,7,No,Yes,"Yes, definitely",,7,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Local impact,Global Climate Change,Personal interest/hobby",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-02 13:00:52,2025-04-02 13:07:00,IP Address,188.151.145.113,100,368,True,2025-04-02 13:07:02,R_6MZiGBkNKh0Pza8,,,,,55.6078,12.9982,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Sweden,Secondary education,Rural,Education,,Not very knowledgeable,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",4.4 billion,I am unsure.,4,2,5,1,3,6,Very little,Social media,No,2,No,Maybe,Maybe,,6,"Educational information,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,Health and Safety,,,,,0.07692307692307693,"QID1,QID24",,
2025-04-02 14:36:54,2025-04-02 14:46:12,IP Address,71.224.70.53,100,557,True,2025-04-02 14:46:12,R_1PjpVPenPInBeG5,,,,,40.6632,-76.3285,anonymous,EN,0.8999999761581421,,Yes,55 - 64,United States of America,Master’s degree or higher,Suburban,Education,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,5,6,1,Somewhat,TV/radio,No,5,No,Maybe,Maybe,,,,,,,,,,,0.2692307692307692,"QID24,QID29,QID28,QID25,QID27,QID1,QID26",,
2025-04-02 14:50:35,2025-04-02 14:56:26,IP Address,200.68.159.184,100,351,True,2025-04-02 14:56:26,R_531sWFdg9HkmMSS,,,,,19.3837,-99.1757,anonymous,EN,0.699999988079071,,Yes,55 - 64,Mexico,Master’s degree or higher,Urban,"Other, please specify...","Writer-Art ",Neutral,"Yes, very serious","No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,2,5,6,3,Very little,"Social media,News websites",No,6,No,Maybe,Maybe,How to save water,6,"Interactive maps,Visualisations of up-to-date water quality data globally",No,No,Health and Safety,,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-04-02 15:00:55,2025-04-02 15:07:21,IP Address,70.231.80.143,100,385,True,2025-04-02 15:07:21,R_1DPSsb5ZmHlyspP,,,,,25.7277,-80.3716,anonymous,EN,1,,Yes,45 - 54,United States of America,Bachelor’s degree,Urban,"Other, please specify...","Real estate ",Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,6,2,4,1,5,3,Somewhat,"Social media,Word of mouth,Educational platforms",Yes,10,No,Yes,"Yes, definitely",,7,"Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent),Tools to report or monitor water issues locally",Maybe,Maybe,Health and Safety,,,,Unknown,0.07692307692307693,"QID1,QID24",,
2025-04-02 15:11:01,2025-04-02 15:16:12,IP Address,187.191.39.250,100,310,True,2025-04-02 15:16:12,R_5EhjEoNb1yNpRh2,,,,,19.4324,-99.1229,anonymous,EN,0.8999999761581421,,Yes,55 - 64,Mexico,Bachelor’s degree,Urban,"Other, please specify...","Entrepreneur ",Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,3,5,4,6,Somewhat,"Social media,News websites",Yes,9,Yes,Yes,"Yes, definitely","How to prevent contamination of water resources ",4,"Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety",,Unknown,,Unknown,0.038461538461538464,QID1,,
2025-04-02 15:05:31,2025-04-02 15:16:14,IP Address,2.71.163.161,100,642,True,2025-04-02 15:16:14,R_6BsEe9dHZ5Kat5T,,,,,55.6078,12.9982,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Sweden,Bachelor’s degree,Urban,Student,,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,2,6,5,3,Very little,"Social media,Educational platforms",No,8,No,Maybe,"Yes, definitely","PFAS, microplastics, pharmaceutical residues etc in drinking water",5,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Tools to report or monitor water issues locally",Maybe,No,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-04-02 15:17:56,2025-04-02 15:26:47,IP Address,76.36.48.125,100,531,True,2025-04-02 15:26:48,R_1dRWIsofymiPOx3,,,,,35.0562,-80.8194,anonymous,EN,0.8999999761581421,,Yes,45 - 54,United States of America,Master’s degree or higher,Urban,Education,,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,1,4,3,6,5,Somewhat,"Social media,News websites",No,10,No,Maybe,Maybe,Drinking water and water that is used to grow food,7,Visualizations of up-to-date water quality data of your city,No,No,"Health and Safety,Local impact,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-04-02 16:55:04,2025-04-02 17:02:04,IP Address,170.55.17.250,100,420,True,2025-04-02 17:02:05,R_67ByKDBhKyzYW0D,,,,,25.8696,-80.3073,anonymous,EN,0.8999999761581421,,Yes,45 - 54,United States of America,Bachelor’s degree,Urban,Education,,Somewhat knowledgeable,"Yes, very serious","No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1,2,3,5,6,4,Very little,"Social media,News websites",No,10,Yes,Yes,"Yes, definitely",,10,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-04-02 19:46:59,2025-04-02 19:51:21,IP Address,106.73.166.194,100,262,True,2025-04-02 19:51:22,R_3EiJfYFRGNxmpUZ,,,,,35.8722,139.9683,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Japan,Bachelor’s degree,Suburban,ICT,,Somewhat knowledgeable,Not serious at all,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,5,4,6,2,Very little,"Social media,TV/radio",No,5,No,Maybe,Maybe,,5,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 05:52:49,2025-03-27 05:53:04,IP Address,77.165.49.154,7,15,False,2025-04-03 05:53:05,R_8pm1SgR5yRdd5Av,,,,,52.3759,4.8975,anonymous,EN,0.8999999761581421,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,QID1,,
2025-03-27 06:07:42,2025-03-27 06:08:51,IP Address,82.214.161.162,26,69,False,2025-04-03 06:08:52,R_8rANFxyvI2VxyGl,,,,,52.2034,20.98,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Poland,Master’s degree or higher,Urban,Finance and Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-03-27 06:18:17,2025-03-27 06:19:12,IP Address,31.61.251.109,26,54,False,2025-04-03 06:19:13,R_79KXUZnViaekERr,,,,,52.232,20.9946,anonymous,EN,0.8999999761581421,,Yes,25 - 34,Poland,Master’s degree or higher,Urban,Finance and Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-03-27 06:20:28,2025-03-27 06:24:22,IP Address,77.174.232.200,59,234,False,2025-04-03 06:24:29,R_5vIvdEXqkKU9ADn,,,,,52.3441,4.8782,anonymous,EN,0.699999988079071,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,5,1,6,Somewhat,"Social media,News websites",No,,,,,,,,,,,,,,,0.0625,QID1,,
2025-03-27 06:31:45,2025-03-27 06:33:34,IP Address,188.154.118.158,63,109,False,2025-04-03 06:33:37,R_5TF9peM5vS3uavD,,,,,47.4197,8.5139,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",1.5 billion,I am unsure.,1,2,4,3,5,6,Very little,News websites,Yes,,,,,,,,,,,,,,,0.0625,QID1,,
2025-03-27 06:15:06,2025-03-27 07:03:32,IP Address,77.175.19.208,26,2906,False,2025-04-03 07:03:36,R_2HFiVAKLEcxqIq4,,,,,52.4091,4.8896,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-03-27 07:12:28,2025-03-27 07:15:16,IP Address,83.135.189.180,63,168,False,2025-04-03 07:15:17,R_2g1TJ3FEnJz3prP,,,,,51.3336,6.5657,anonymous,EN,1,,Yes,18 - 24,Germany,Bachelor’s degree,Suburban,ICT,,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,4,1,6,3,Somewhat,"Social media,News websites,TV/radio",Yes,,,,,,,,,,,,,,,0.0625,QID1,,
2025-04-03 08:20:13,2025-04-03 08:29:50,IP Address,109.69.228.221,100,576,True,2025-04-03 08:29:50,R_2f1cYwBZHBV4j0R,,,,,52.3191,4.976,anonymous,EN,0.8999999761581421,,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Transport,,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,5,3,2,6,Very little,"Social media,Word of mouth",No,5,No,Yes,"Yes, definitely","Risks, real quality per city",5,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety",,Unknown,,,0.038461538461538464,QID1,,
2025-04-03 08:18:49,2025-04-03 08:31:05,IP Address,92.67.6.117,100,735,True,2025-04-03 08:31:05,R_8jTAVmzLohxtmbh,,,,,52.4363,4.8277,anonymous,EN,1,,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Finance and Commerce,,Very knowledgeable,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,5,2,1,6,3,Somewhat,"Social media,News websites",Yes,8,No,Maybe,"Yes, definitely",,5,"Interactive maps,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 08:41:30,2025-03-27 08:42:32,IP Address,78.243.106.112,26,61,False,2025-04-03 08:42:37,R_8XyyEXdCH7LeJep,,,,,48.8558,2.3494,anonymous,EN,1,,Yes,18 - 24,France,Bachelor’s degree,Urban,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-04-03 08:47:38,2025-04-03 08:56:58,IP Address,94.157.34.37,100,559,True,2025-04-03 08:56:58,R_2yKqOKfS7J1L9Id,,,,,51.9439,5.8939,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,5,6,4,3,Somewhat,"Social media,News websites,Word of mouth,Educational platforms",Yes,7,No,Yes,Maybe,"How it is safeguarded, what it is like in Amsterdam, what is tested to determine the quality, its progression/regression recently, what is added to tapwater and why etc.",7,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change,Personal interest/hobby,Community involvement",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 09:03:19,2025-03-27 09:09:21,IP Address,146.50.72.77,81,362,False,2025-04-03 09:09:23,R_233BUf4qiLjZZQT,,,,,52.364,4.866,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,4,1,6,5,2,Very little,"Word of mouth,Educational platforms,I don’t usually seek out this information",Yes,10,No,Yes,"Yes, definitely",,,,,,,,,,,0.09523809523809523,"QID1,QID24",,
2025-03-27 09:10:13,2025-03-27 09:17:15,IP Address,145.136.128.137,63,421,False,2025-04-03 09:17:18,R_2y1uMwqN4YaWtGx,,,,,52.0909,5.0958,anonymous,EN,1,,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Education,,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,3,4,6,1,5,Very little,"Social media,News websites,Word of mouth",No,,,,,,,,,,,,,,,0.0625,QID1,,
2025-04-03 09:37:54,2025-04-03 09:43:05,IP Address,5.90.223.161,100,311,True,2025-04-03 09:43:05,R_84MgWzdIeQUEz20,,,,,41.1122,16.8547,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,,Not knowledgeable at all,Neutral/ Unsure,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,4,2,6,5,1,Somewhat,"Social media,News websites,Word of mouth",No,6,No,Yes,"Yes, definitely",,9,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 10:12:43,2025-03-27 10:14:23,IP Address,80.56.169.242,7,99,False,2025-04-03 10:14:24,R_3WGt5VsptpM27ie,,,,,52.4002,4.9385,anonymous,EN,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,QID1,,
2025-04-03 10:25:59,2025-04-03 10:35:27,IP Address,37.169.103.179,100,568,True,2025-04-03 10:35:28,R_8rODawiNS1RTq8l,,,,,48.8558,2.3494,anonymous,EN,0.8999999761581421,,Yes,18 - 24,France,Master’s degree or higher,Urban,Student,,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,1,2,6,4,5,A lot,"Social media,News websites,Educational platforms",No,8,Yes,Yes,Maybe,,6,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 10:36:50,2025-03-27 10:37:00,IP Address,80.113.226.202,7,10,False,2025-04-03 10:37:04,R_8zw59sRFPO5QnUw,,,,,52.3346,4.8914,anonymous,EN,0.8999999761581421,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,QID1,,
2025-03-27 11:15:31,2025-03-27 11:16:56,IP Address,89.205.133.180,26,84,False,2025-04-03 11:17:00,R_3175AqMMZVL1RcW,,,,,52.364,4.8913,anonymous,EN,0.8999999761581421,,Yes,25 - 34,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
2025-03-27 11:59:04,2025-03-27 11:59:54,IP Address,172.224.227.67,26,50,False,2025-04-03 11:59:55,R_8pXhbQVMYo7EEhg,,,,,51.5081,-0.1278,anonymous,EN,1,,Yes,18 - 24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Suburban,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,QID1,,
