Finished,Q_RecaptchaScore,Participate,Age,Country of Residence,Level of Education,Living Area,Occupation,General Awareness,Seriousness of City Water Quality,Awareness of city Management,Ppl with no Drinking Water 2023,Causes of Poor Water Quality,Agriculture,Global Warming,Industrial Waste,Marine Dumping of Garbage,Oil Leaks and Spills,Sewage and Wastewater,Attention given to Water on the News,Source of Awareness,Know of Urban Aquatic Ecosystem,Interest in Water Quality Management,Participated in Water Conservation Actitivites,Interest in Learning More,Interest in Learning more about City,What would you want to learn about,Likelihood in using digital platform,Features of Platform,Interested in Contributing to Platform,Interest in joining Community,Motivations to engage with environmental causes,Unanswered Percentage
True,1.0,Yes,35 - 44,Mexico,Master’s degree or higher,Urban,Public Service,Very knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,2.0,3.0,4.0,6.0,5.0,A lot,News websites,No,10.0,Yes,Yes,"Yes, definitely",Water quality,10.0,"Interactive maps,Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Yes,Yes,Health and Safety,0.0384615384615384
True,0.8999999761581421,Yes,45 - 54,United States of America,Master’s degree or higher,Urban,Science,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,4.0,5.0,3.0,6.0,1.0,Somewhat,"Social media,News websites,Word of mouth",No,7.0,No,Yes,"Yes, definitely",,7.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,45 - 54,Mexico,Master’s degree or higher,Urban,Sports coach,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,3.0,5.0,1.0,2.0,6.0,4.0,Somewhat,"Social media,TV/radio",No,8.0,No,Yes,"Yes, definitely",How to check quality in house ,9.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Yes,"Concern for future generations,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,45 - 54,Belgium,Bachelor’s degree,Urban,I'm not working for now,Somewhat knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,4.0,5.0,1.0,3.0,6.0,Very little,I don’t usually seek out this information,No,6.0,No,Maybe,Maybe,because the water is different in some places,,,,,,0.2307692307692307
True,0.800000011920929,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,6.0,5.0,3.0,2.0,4.0,Very little,"Social media,Educational platforms",No,8.0,Yes,Yes,"Yes, definitely",,2.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Health and Safety,Local impact,Global Climate Change",0.0769230769230769
True,1.0,Yes,18 - 24,Finland,Bachelor’s degree,Urban,Education,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,4.0,1.0,6.0,3.0,Somewhat,"Social media,News websites",Yes,5.0,Yes,Yes,"Yes, definitely",Water quality decline prevention ,5.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Global Climate Change",0.0384615384615384
True,0.800000011920929,Yes,55 - 64,United Kingdom of Great Britain and Northern Ireland,Master’s degree or higher,Urban,Intergovernmental organisations ,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,4.0,5.0,6.0,1.0,Somewhat,"News websites,TV/radio,Word of mouth",Yes,8.0,Yes,Yes,"Yes, definitely",Disposal of urbano rubbish,,,,,,0.2307692307692307
True,0.8999999761581421,Yes,45 - 54,Colombia,Master’s degree or higher,Urban,Finance and Commerce,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,5.0,4.0,2.0,6.0,A lot,"Social media,TV/radio",No,9.0,No,Maybe,Maybe,como poder ayudar a limpiar el agua,7.0,"Educational information,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,France,Master’s degree or higher,Urban,Student,Not knowledgeable at all,"Yes, very serious","Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,6.0,3.0,4.0,1.0,5.0,Very little,"Social media,News websites,TV/radio",No,3.0,No,Maybe,Maybe,,1.0,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Comoros,Bachelor’s degree,Urban,Student,Not very knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",2.2 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,2.0,3.0,4.0,5.0,6.0,A lot,"Social media,News websites",No,8.0,No,Yes,"Yes, definitely",,7.0,"Interactive maps,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Denmark,Bachelor’s degree,Suburban,Finance and Commerce,Somewhat knowledgeable,Not very serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,5.0,2.0,3.0,6.0,Very little,"Social media,News websites,Word of mouth,Educational platforms",Yes,7.0,No,Yes,"Yes, definitely",,7.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Local impact,Global Climate Change,Personal interest/hobby",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Sweden,Secondary education,Rural,Education,Not very knowledgeable,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",4.4 billion,I am unsure.,4.0,2.0,5.0,1.0,3.0,6.0,Very little,Social media,No,2.0,No,Maybe,Maybe,,6.0,"Educational information,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,Health and Safety,0.0769230769230769
True,0.8999999761581421,Yes,55 - 64,United States of America,Master’s degree or higher,Suburban,Education,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,4.0,5.0,6.0,1.0,Somewhat,TV/radio,No,5.0,No,Maybe,Maybe,,,,,,,0.2692307692307692
True,0.699999988079071,Yes,55 - 64,Mexico,Master’s degree or higher,Urban,Writer-Art ,Neutral,"Yes, very serious","No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,2.0,5.0,6.0,3.0,Very little,"Social media,News websites",No,6.0,No,Maybe,Maybe,How to save water,6.0,"Interactive maps,Visualisations of up-to-date water quality data globally",No,No,Health and Safety,0.0384615384615384
True,1.0,Yes,45 - 54,United States of America,Bachelor’s degree,Urban,Real estate ,Somewhat knowledgeable,"Yes, very serious","Yes, I am very aware of the city’s water quality and management",1.5 billion,It can lead to waterborne disease such as cholera and dysentery.,6.0,2.0,4.0,1.0,5.0,3.0,Somewhat,"Social media,Word of mouth,Educational platforms",Yes,10.0,No,Yes,"Yes, definitely",,7.0,"Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent),Tools to report or monitor water issues locally",Maybe,Maybe,Health and Safety,0.0769230769230769
True,0.8999999761581421,Yes,55 - 64,Mexico,Bachelor’s degree,Urban,Entrepreneur ,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,3.0,5.0,4.0,6.0,Somewhat,"Social media,News websites",Yes,9.0,Yes,Yes,"Yes, definitely",How to prevent contamination of water resources ,4.0,"Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Sweden,Bachelor’s degree,Urban,Student,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,2.0,6.0,5.0,3.0,Very little,"Social media,Educational platforms",No,8.0,No,Maybe,"Yes, definitely","PFAS, microplastics, pharmaceutical residues etc in drinking water",5.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Tools to report or monitor water issues locally",Maybe,No,"Concern for future generations,Health and Safety",0.0384615384615384
True,0.8999999761581421,Yes,45 - 54,United States of America,Master’s degree or higher,Urban,Education,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,1.0,4.0,3.0,6.0,5.0,Somewhat,"Social media,News websites",No,10.0,No,Maybe,Maybe,Drinking water and water that is used to grow food,7.0,Visualizations of up-to-date water quality data of your city,No,No,"Health and Safety,Local impact,Global Climate Change",0.0384615384615384
True,0.8999999761581421,Yes,45 - 54,United States of America,Bachelor’s degree,Urban,Education,Somewhat knowledgeable,"Yes, very serious","No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",1.0,2.0,3.0,5.0,6.0,4.0,Very little,"Social media,News websites",No,10.0,Yes,Yes,"Yes, definitely",,10.0,"Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,Japan,Bachelor’s degree,Suburban,ICT,Somewhat knowledgeable,Not serious at all,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,5.0,4.0,6.0,2.0,Very little,"Social media,TV/radio",No,5.0,No,Maybe,Maybe,,5.0,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
False,0.8999999761581421,Yes,18 - 24,Poland,Master’s degree or higher,Urban,Finance and Commerce,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,0.8999999761581421,Yes,25 - 34,Poland,Master’s degree or higher,Urban,Finance and Commerce,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,0.699999988079071,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,4.0,5.0,1.0,6.0,Somewhat,"Social media,News websites",No,,,,,,,,,,,0.0625
False,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",1.5 billion,I am unsure.,1.0,2.0,4.0,3.0,5.0,6.0,Very little,News websites,Yes,,,,,,,,,,,0.0625
False,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,1.0,Yes,18 - 24,Germany,Bachelor’s degree,Suburban,ICT,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,4.0,1.0,6.0,3.0,Somewhat,"Social media,News websites,TV/radio",Yes,,,,,,,,,,,0.0625
True,0.8999999761581421,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Transport,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,5.0,3.0,2.0,6.0,Very little,"Social media,Word of mouth",No,5.0,No,Yes,"Yes, definitely","Risks, real quality per city",5.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety",0.0384615384615384
True,1.0,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Finance and Commerce,Very knowledgeable,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,5.0,2.0,1.0,6.0,3.0,Somewhat,"Social media,News websites",Yes,8.0,No,Maybe,"Yes, definitely",,5.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",0.0769230769230769
False,1.0,Yes,18 - 24,France,Bachelor’s degree,Urban,Education,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
True,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,5.0,6.0,4.0,3.0,Somewhat,"Social media,News websites,Word of mouth,Educational platforms",Yes,7.0,No,Yes,Maybe,"How it is safeguarded, what it is like in Amsterdam, what is tested to determine the quality, its progression/regression recently, what is added to tapwater and why etc.",7.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change,Personal interest/hobby,Community involvement",0.0384615384615384
False,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,4.0,1.0,6.0,5.0,2.0,Very little,"Word of mouth,Educational platforms,I don’t usually seek out this information",Yes,10.0,No,Yes,"Yes, definitely",,,,,,,0.0952380952380952
False,1.0,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Education,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,3.0,4.0,6.0,1.0,5.0,Very little,"Social media,News websites,Word of mouth",No,,,,,,,,,,,0.0625
True,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Suburban,Student,Not knowledgeable at all,Neutral/ Unsure,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,4.0,2.0,6.0,5.0,1.0,Somewhat,"Social media,News websites,Word of mouth",No,6.0,No,Yes,"Yes, definitely",,9.0,"Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Local impact,Global Climate Change,Community involvement",0.0769230769230769
True,0.8999999761581421,Yes,18 - 24,France,Master’s degree or higher,Urban,Student,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,1.0,2.0,6.0,4.0,5.0,A lot,"Social media,News websites,Educational platforms",No,8.0,Yes,Yes,Maybe,,6.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Yes,Yes,"Concern for future generations,Health and Safety,Global Climate Change,Community involvement",0.0769230769230769
False,0.8999999761581421,Yes,25 - 34,Netherlands,Bachelor’s degree,Urban,Tourism and Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,1.0,Yes,18 - 24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Suburban,Student,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
True,1.0,Yes,25 - 34,United States of America,Bachelor’s degree,Suburban,Oil and gas,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,4.0,1.0,6.0,2.0,5.0,Very little,Social media,No,3.0,Yes,No,"No, not interested",,8.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,65+,United States of America,Master’s degree or higher,Urban,Retired ,Neutral,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3.0,2.0,1.0,5.0,6.0,4.0,Somewhat,"News websites,TV/radio",No,10.0,No,Yes,"Yes, definitely",,9.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact",0.0769230769230769
True,0.8999999761581421,Yes,55 - 64,United States of America,Bachelor’s degree,Suburban,Retired,Neutral,Somewhat serious,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,4.0,6.0,2.0,5.0,Somewhat,I don’t usually seek out this information,No,7.0,No,Maybe,Maybe,,7.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",No,No,Health and Safety,0.0769230769230769
True,0.8999999761581421,Yes,45 - 54,United States of America,Master’s degree or higher,Urban,Art,Neutral,"Yes, very serious","Yes, I am slightly aware.",4.4 billion,It can lead to waterborne disease such as cholera and dysentery.,1.0,3.0,5.0,6.0,4.0,2.0,Somewhat,Social media,No,5.0,No,Maybe,Maybe,Quality of drinking water,2.0,Tools to report or monitor water issues locally,No,Maybe,Health and Safety,0.0384615384615384
False,0.8999999761581421,Yes,18 - 24,Germany,Bachelor’s degree,Urban,Transport,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
True,0.8999999761581421,Yes,18 - 24,Canada,Master’s degree or higher,Urban,UNEMPLOYED,Not knowledgeable at all,Not very serious,"No, I am aware of nothing related to water in my city.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,3.0,2.0,4.0,5.0,6.0,Very little,"Social media,News websites,TV/radio",Yes,1.0,I don't remember,Maybe,Maybe,"what variables may affect its quality, i.e. seasons ? Does the water quality tend to be better during winter than summer ? How good is the water quality in Canada as I expect to be very good but might be mislead.",1.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",No,No,"Health and Safety,Local impact",0.0384615384615384
True,0.8999999761581421,Yes,55 - 64,United States of America,Bachelor’s degree,Suburban,Retired ,Neutral,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",2.0,4.0,6.0,1.0,5.0,3.0,Somewhat,"News websites,TV/radio,Word of mouth",No,9.0,No,Yes,"Yes, definitely",Impacts of fluoride ,7.0,"Interactive maps,Educational information,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,Maybe,"Concern for future generations,Health and Safety,Global Climate Change,Community involvement",0.0384615384615384
True,0.8999999761581421,Yes,25 - 34,United States of America,Bachelor’s degree,Suburban,Science,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,3.0,1.0,4.0,6.0,Somewhat,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",Yes,8.0,Yes,Yes,"Yes, definitely",Infrastructure related water quality issues- old building/piping,5.0,"Interactive maps,Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",0.0384615384615384
True,0.8999999761581421,Yes,55 - 64,United States of America,Master’s degree or higher,Suburban,Transport,Somewhat knowledgeable,Not serious at all,"No, I am aware of nothing related to water in my city.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,3.0,6.0,4.0,5.0,A lot,"Social media,News websites,TV/radio,Word of mouth",No,10.0,Yes,Yes,"Yes, definitely",What controls are in place to address the risks of poor water quality.,10.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,Health and Safety,0.0384615384615384
True,0.8999999761581421,Yes,35 - 44,United States of America,Master’s degree or higher,Urban,Industry,Not very knowledgeable,Somewhat serious,"No, I am aware of nothing related to water in my city.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,5.0,1.0,3.0,6.0,4.0,Not at all,"Social media,News websites",No,3.0,No,Maybe,"Yes, definitely",,5.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,"Concern for future generations,Health and Safety,Global Climate Change",0.0769230769230769
True,0.8999999761581421,Yes,55 - 64,United States of America,Bachelor’s degree,Rural,Retired,Somewhat knowledgeable,Somewhat serious,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,2.0,3.0,4.0,5.0,6.0,Somewhat,News websites,No,7.0,Yes,Maybe,Maybe,Purification systems,7.0,"Interactive maps,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent)",Maybe,No,"Concern for future generations,Health and Safety",0.0384615384615384
True,0.8999999761581421,Yes,55 - 64,Switzerland,Secondary education,Urban,Education,Neutral,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,5.0,2.0,6.0,1.0,3.0,Somewhat,"Social media,News websites",No,9.0,No,Maybe,"Yes, definitely",,7.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,No,"Concern for future generations,Global Climate Change",0.0769230769230769
True,1.0,Yes,45 - 54,Switzerland,Secondary education,Suburban,art,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,2.0,3.0,5.0,1.0,6.0,A lot,"Social media,News websites,TV/radio,Educational platforms",No,10.0,No,Maybe,"Yes, definitely",micro plastic and hormone content,9.0,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby,Community involvement",0.0384615384615384
True,0.8999999761581421,Yes,18 - 24,Belgium,Master’s degree or higher,Suburban,Student,Neutral,Somewhat serious,"No, I am aware of nothing related to water in my city.",2.2 billion,I am unsure.,1.0,5.0,6.0,3.0,4.0,2.0,Very little,"Social media,Word of mouth",No,3.0,No,Yes,"Yes, definitely",,3.0,"Interactive maps,Educational information,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Personal interest/hobby",0.0769230769230769
False,0.8999999761581421,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,1.0,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Finance and Commerce,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1.0,4.0,3.0,5.0,6.0,2.0,Somewhat,"News websites,Word of mouth",No,8.0,No,Yes,"Yes, definitely",,,,,,,0.0952380952380952
False,0.8999999761581421,Yes,18 - 24,Colombia,Bachelor’s degree,Urban,Construction,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,0.8999999761581421,Yes,18 - 24,Belgium,Bachelor’s degree,Rural,Student,Not very knowledgeable,"Yes, very serious","No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2.0,6.0,5.0,4.0,3.0,1.0,Very little,"Social media,News websites,TV/radio",No,,,,,,,,,,,0.0625
False,0.8999999761581421,Yes,18 - 24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Urban,Student,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,0.699999988079071,Yes,18 - 24,United States of America,Bachelor’s degree,Suburban,Science,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571428571428
False,0.8999999761581421,Yes,18 - 24,United States of America,Bachelor’s degree,Urban,Student,Not very knowledgeable,Neutral/ Unsure,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4.0,2.0,3.0,5.0,6.0,1.0,Somewhat,"Social media,News websites,TV/radio",No,4.0,Yes,Maybe,"Yes, definitely",,,,,,,0.0952380952380952
